Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,IntensityScore_abs,IntensityBand,GKScore_abs,GKBand
Luca Checchin,Hellas Verona,it Serie A,Def_MF,18.7,99,1.1,,,,,,,,,,
Dušan Basta,Lazio,it Serie A,DF,31.4,1815,20.2,,,,,459.64706866886553,Top Starter,426.04845277549805,Top Starter,,
Rade Krunić,Empoli,it Serie A,MF,22.2,490,5.4,,,461.3053278542692,Top Starter,,,515.4282355205993,Top Starter,,
Jonathan de Guzmán,Carpi,it Serie A,MF,28.3,111,1.2,,,,,,,,,,
Bryan Cristante,Palermo,it Serie A,MF,20.8,94,1.0,,,,,,,,,,
Filippo Porcari,Carpi,it Serie A,Def_MF,31.7,182,2.0,,,,,,,,,,
Davide Zappacosta,Torino,it Serie A,MF,23.6,1263,14.0,,,337.5465682918213,Solid Squad Player,,,368.62497027001064,Solid Squad Player,,
Erick Pulgar,Bologna,it Serie A,MF,22.0,684,7.6,,,254.86082263414679,Solid Squad Player,,,440.4938590295039,Top Starter,,
Matuzalem,Hellas Verona,it Serie A,Def_MF,35.6,204,2.3,,,,,,,,,,
Remo Freuler,Atalanta,it Serie A,MF,23.7,451,5.0,,,334.2354984830648,Solid Squad Player,,,457.62883857541846,Top Starter,,
Alexander Merkel,Udinese,it Serie A,MF,23.9,58,0.6,,,,,,,,,,
Ravel Morrison,Lazio,it Serie A,MF,22.9,60,0.7,,,,,,,,,,
Nigel de Jong,Milan,it Serie A,MF,31.1,371,4.1,,,,,,,,,,
Filippo Falco,Bologna,it Serie A,Off_MF,23.9,213,2.4,,,,,,,,,,
Raphael Martinho,Carpi,it Serie A,MF,27.7,686,7.6,,,236.2258426258143,Solid Squad Player,,,407.1980925910737,Top Starter,,
Boško Janković,Hellas Verona,it Serie A,FW,31.8,899,10.0,137.80229849178087,Below Big-5 Level,,,,,309.24698352762914,Solid Squad Player,,
Franco Zuculini,Bologna,it Serie A,MF,25.3,18,0.2,,,,,,,,,,
Massimiliano Carlini,Frosinone,it Serie A,Off_MF,29.4,374,4.2,,,,,,,,,,
Dominik Furman,Hellas Verona,it Serie A,Def_MF,23.5,19,0.2,,,,,,,,,,
Michele Rocca,Sampdoria,it Serie A,MF,19.9,29,0.3,,,,,,,,,,
Lorenzo Di Livio,Roma,it Serie A,MF,19.0,21,0.2,,,,,,,,,,
Giuseppe Panico,Genoa,it Serie A,FW,18.6,7,0.1,,,,,,,,,,
Simone Edera,Torino,it Serie A,Off_MF,19.0,6,0.1,,,,,,,,,,
Gonzalo Higuaín,Napoli,it Serie A,FW,28.1,2977,33.1,616.8716837660884,Top Starter,,,,,281.5244087780833,Solid Squad Player,,
Paulo Dybala,Juventus,it Serie A,Off_MF,22.1,2465,27.4,850.7357849027353,World Class,,,,,436.7330387535234,Top Starter,,
Josip Iličić,Fiorentina,it Serie A,Off_MF,27.9,1925,21.4,642.9334718056492,Top Starter,,,,,407.42011100738455,Top Starter,,
Domenico Berardi,Sassuolo,it Serie A,FW,21.4,2182,24.2,437.11211049330944,Top Starter,,,,,524.4366808552414,Top Starter,,
Stephan El Shaarawy,Roma,it Serie A,MF,23.2,1200,13.3,,,490.6661865898969,Top Starter,,,364.31369020970845,Solid Squad Player,,
Andrea Belotti,Torino,it Serie A,FW,22.0,2596,28.8,402.81655839921973,Top Starter,,,,,477.61542789845936,Top Starter,,
Francesco Totti,Roma,it Serie A,FW,39.3,386,4.3,,,,,,,,,,
Gervinho,Roma,it Serie A,FW,28.6,1088,12.1,594.9694953822585,Top Starter,,,,,300.65536420151034,Solid Squad Player,,
Cyril Théréau,Udinese,it Serie A,FW,32.7,2904,32.3,496.04441837225704,Top Starter,,,,,539.0454433240344,Top Starter,,
Mauro Icardi,Inter,it Serie A,FW,22.9,2598,28.9,598.3176569196104,Top Starter,,,,,267.64601652000795,Solid Squad Player,,
Stevan Jovetić,Inter,it Serie A,FW,26.2,1528,17.0,511.4452627047126,Top Starter,,,,,570.4771027933656,Top Starter,,
Mario Mandžukić,Juventus,it Serie A,FW,29.6,2050,22.8,559.4098463300868,Top Starter,,,,,447.87576676948737,Top Starter,,
