Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,RawScore,MainScore,MainBand
Leroy Sané,Bayern Munich,de Bundesliga,Off_MF,26,2010,22.3,806.9238080716718,World Class,,,,,806.9238080716718,927.8,Exceptional
Sidi Sané,Schalke 04,de Bundesliga,FW,19,25,0.3,,,,,,,,,Below Big-5 Level
Morgan Sanson,Aston Villa,eng Premier League,Off_MF,27,11,0.1,,,,,,,,,Below Big-5 Level
Morgan Sanson,Strasbourg,fr Ligue 1,MF,27,1419,15.8,,,621.0516214331318,Top Starter,,,621.0516214331318,650.9,Top Starter
Nicola Sansone,Bologna,it Serie A,FW,30,740,8.2,603.8037071790753,Top Starter,,,,,603.8037071790753,707.3,Top Starter
Baptiste Santamaria,Rennes,fr Ligue 1,MF,27,1813,20.1,,,395.1234800366078,Solid Squad Player,,,395.1234800366078,358.8,Solid Squad Player
Riccardo Saponara,Fiorentina,it Serie A,FW,30,1208,13.4,521.3192303437671,Top Starter,,,,,521.3192303437671,605.6,Top Starter
Pablo Sarabia,Wolves,eng Premier League,FW,30,765,8.5,327.61995789677457,Solid Squad Player,,,,,327.61995789677457,379.2,Solid Squad Player
Pablo Sarabia,Paris S-G,fr Ligue 1,FW,30,370,4.1,,,,,,,,,Below Big-5 Level
Jeremy Sarmiento,Brighton,eng Premier League,Off_MF,20,176,2.0,,,,,,,,,Below Big-5 Level
Amin Sarr,Lyon,fr Ligue 1,FW,21,537,6.0,305.786731328527,Solid Squad Player,,,,,305.786731328527,324.3,Solid Squad Player
Malang Sarr,Monaco,fr Ligue 1,DF,23,716,8.0,,,,,641.2339603317971,Top Starter,641.2339603317971,569.5,Top Starter
Mamadou Sarr,Lyon,fr Ligue 1,Def_MF,16,8,0.1,,,,,,,,,Below Big-5 Level
Martin Satriano,Empoli,it Serie A,FW,21,1705,18.9,220.6338744006443,Solid Squad Player,,,,,220.6338744006443,234.8,Solid Squad Player
