Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand
Mert Müldür,Sassuolo,it Serie A,DF,22,2046,22.7,,,,,329.62788763391586,Solid Squad Player
Thomas Müller,Bayern Munich,de Bundesliga,Off_MF,31,2558,28.4,657.880689693718,Top Starter,,,,
Marshall Munetsi,Reims,fr Ligue 1,Def_MF,25,1885,20.9,,,,,462.6211774495528,Top Starter
Iker Muniain,Athletic Club,es La Liga,Off_MF,28,2785,30.9,455.48850490573795,Top Starter,,,,
Aihen Muñoz,Real Sociedad,es La Liga,DF,23,1342,14.9,,,,,290.7779515903853,Solid Squad Player
Luis Muriel,Atalanta,it Serie A,FW,30,1539,17.1,650.0452321279388,Top Starter,,,,
Jeison Murillo,Celta Vigo,es La Liga,DF,29,1117,12.4,,,,,354.55358827175456,Solid Squad Player
Vedat Muriqi,Mallorca,es La Liga,FW,27,1438,16.0,351.86526832955406,Solid Squad Player,,,,
Jacob Murphy,Newcastle Utd,eng Premier League,FW,26,1473,16.4,206.6338237191896,Solid Squad Player,,,,
Nicola Murru,Sampdoria,it Serie A,DF,26,983,10.9,,,,,331.1017605175017,Solid Squad Player
Yunus Musah,Valencia,es La Liga,FW,18,1259,14.0,138.2003023431595,Below Big-5 Level,,,,
Jamal Musiala,Bayern Munich,de Bundesliga,FW,18,1465,16.3,447.19974588335674,Top Starter,,,,
Shkodran Mustafi,Levante,es La Liga,DF,29,658,7.3,,,,,458.4703768553805,Top Starter
Enock Mwepu,Brighton,eng Premier League,MF,23,996,11.1,,,545.3693693693695,Top Starter,,
Vitaliy Mykolenko,Everton,eng Premier League,DF,22,1055,11.7,,,,,357.44019463317716,Solid Squad Player
Joakim Mæhle,Atalanta,it Serie A,Off_MF,24,1471,16.3,201.93789073911776,Solid Squad Player,,,,
Obite N'Dicka,Eint Frankfurt,de Bundesliga,DF,21,2857,31.7,,,,,456.32250974439256,Top Starter
Kévin N'Doram,Metz,fr Ligue 1,MF,25,1235,13.7,,,230.0729927007299,Solid Squad Player,,
