Player,OffScore_mean,MidScore_mean,DefScore_mean,Min,90s
Alexander Callens,,,557.7944862155389,120,1.3
Alexander Djiku,,,486.81663546205044,15261,169.5
Alexander Esswein,191.9222777832813,,,2081,23.2
Alexander Fuchs,,359.61643835616434,,655,7.3
Alexander Hack,,,563.9093133187231,7688,85.3
Alexander Isak,462.3184010336177,,,13295,147.7
Alexander Kačaniklić,205.2199546485261,,,316,3.5
Alexander Legendre,,,289.6969696969697,9,0.1
Alexander Prass,181.11821617535904,,355.37157068917503,1942,21.599999999999998
Alexander Røssing-Lelesiit,175.8265306122449,,,284,3.2
Alexander Søderlund,181.6360544217687,,,363,4.0
Alexander Sørloth,356.4598715884764,,,11012,122.4
Alexander Tettey,,,378.83463396506875,2338,26.0
Alexandre Alemão,180.06673493770265,,,556,6.2
Alexandre Coeff,,,433.9607994344836,586,6.5
Alexandre Lacazette,523.686991489315,,,17556,195.1
Alexandre Lauray,,,429.6741854636592,257,2.9
Alexandre Mendy,337.2147310102492,,,2461,27.3
Alexandru Maxim,367.30622489844194,,,1653,18.3
Alexis,,,366.2130760246419,2184,24.3
Alexis Alegue,0.0,,,5,0.1
Alexis Beka Beka,,245.57377049180332,,545,6.1
Alexis Blin,,255.86996846609472,,9735,108.2
Alexis Claude-Maurice,316.360423431354,,,7758,86.1
Alexis Flips,343.88839006919625,,,3077,34.2
Alexis Mac Allister,221.97330823671214,519.7280962932373,,12768,142.0
Alexis Saelemaekers,237.79474076745427,,209.1694669324952,10638,118.2
Alexis Sánchez,465.1233826414644,,,10868,120.9
Alexis Tibidi,62.71956441491325,,,459,5.1
Alexis Trouillet,,411.6666666666667,,109,1.2
Alexis Vossah,,357.75308641975306,,490,5.4
Alexsandro Ribeiro,,,411.3499957523613,6846,76.1
Aleš Matějů,,,378.34597770649134,3275,36.4
Alfa Semedo,,464.0,,45,0.5
Alfie Dorrington,,,95.23809523809524,14,0.2
Alfie Doughty,,,319.1530527951581,2925,32.5
Alfie Gilchrist,,,442.69223784097926,207,2.3
Alfie Mawson,,,415.1446717601578,4551,50.6
Alfon,318.42545990827415,,,1717,19.1
Alfonso,180.0,,,9,0.1
Alfonso Espino,269.83930267263594,,392.86585949013863,12740,141.7
Alfonso Pedraza,263.4524512387981,,307.71437823453437,13506,150.1
Alfred Duncan,218.23486184597292,434.73578832113856,,12634,140.5
Alfred N'Diaye,,,397.81602767248705,101,1.1
Alfredo Donnarumma,357.32062117776405,,,1684,18.7
Alfredo Morales,,289.38010620915037,,3262,36.2
Alfreð Finnbogason,462.90231339323,,,4951,54.9
Ali Abdi,,,274.9917145672663,1857,20.7
Ali Adnan Kadhim,,,410.88461895479435,1840,20.400000000000002
Ali Al Hamadi,177.0374149659864,,,134,1.5
Ali Dembélé,,,284.09628722970217,401,4.3999999999999995
Ali Houary,,162.85714285714286,,123,1.4
Ali Jasim,95.23809523809524,,,10,0.1
Alidu Seidu,,,419.3197615270906,6843,76.1
Alieu Fadera,229.62995272615336,,,2171,24.200000000000003
Alieu Njie,257.15972651686934,,,411,4.6000000000000005
Alimami Gory,246.18757873519775,,,269,3.0
Alin Toșca,,,374.8761538324808,1593,17.7
Aliou Badara Baldé,182.1472505668934,,,160,1.8
Alireza Jahanbakhsh,254.52041937369708,,,1859,20.700000000000003
Aljoscha Kemlein,,272.75974757719183,179.25925925925927,1735,19.2
Alkhaly Momo Cissé,160.71428571428572,,,38,0.4
Allan,,357.87109574332084,,11156,124.1
Allan Nyom,,293.15762273901805,247.0488534057432,10076,112.0
Allan Saint-Maximin,326.8990631134745,,,12509,139.0
Allan Tchaptchet,,,118.09523809523807,13,0.1
Almamy Touré,,,401.5470024061815,5212,57.9
Almoatasem Al Musrati,,565.4938734683672,,661,7.4
Almugera Kabar,,,267.63352826510715,137,1.5
Alois Confais,,133.48039215686276,,618,6.8999999999999995
Alou Kuol,0.0,,,5,0.1
Alpha Touré,,217.18875502008032,,745,8.3
Alphadjo Cissè,47.61904761904762,,,17,0.2
Alphonso Davies,,213.33333333333337,343.6829410555344,11532,128.0
Alvaro Sanz,149.62962962962965,,,29,0.3
Aly Abeid,,,487.5150840063121,77,0.9
Aly Ndom,,149.9166666666667,,408,4.5
Amad Diallo,423.2785566330282,,208.4429980423696,3701,41.1
Amadou Diawara,,256.7119078396323,,3662,40.7
Amadou Haidara,,406.2976953584668,,8641,96.1
Amadou Koné,,229.99737945492666,,1768,19.7
Amadou Mbengue,,,378.3232591282126,610,6.8
Amadou Onana,,301.5807421896116,475.3623188405797,8366,92.9
Amadou Traore,113.8655462184874,,,323,3.6
Amady Camara,167.76913580246912,,,162,1.8
Amar Ahmed,34.013605442176875,,,20,0.2
Amar Dedić,,,224.91657715717864,314,3.5
Amari'i Bell,,,436.8687862763365,1720,19.1
Amath,167.95181397508694,,,6807,75.6
Amato Ciciretti,235.64194381456286,,,946,10.5
Ambroise Oyongo,,,291.7217116439339,5375,59.599999999999994
Ameen Al-Dakhil,,,454.20337643729454,1845,20.5
Amer Gojak,282.0021752494444,,,475,5.3
Amidou Doumbouya,,,535.9799498746867,46,0.5
Amin Sarr,175.57035066260707,,,3316,36.9
Amin Younes,504.1720562714176,,,2065,23.0
Amine Adli,367.82945207030565,,,4795,53.3
Amine Bassi,,491.0,,184,2.0
Amine Gouiri,410.20921559363507,,,12863,142.8
Amine Harit,365.7168920288683,,,11348,126.0
Amine Salama,188.54399795719613,,,1935,21.5
Amir Abrashi,,175.72050290135394,442.7711562494171,2363,26.3
Amir Richardson,108.06666666666668,361.8193078324226,,2493,27.7
Amir Rrahmani,,,355.1868112044538,16396,182.2
Amos Pieper,,,490.0818794936824,9871,109.6
Anaitz Arbilla,,,391.43195740467786,9178,102.0
Anas Ouahim,155.0,,,19,0.2
Anass Salah-Eddine,,,157.11828591085558,152,1.7
Anass Zaroury,200.40843972916804,,,1557,17.3
Anastasios Donis,231.5176200682782,,,2987,33.2
Anastasios Douvikas,407.6565550704076,,,2862,31.8
Ander Barrenetxea,297.87396672568315,,,7241,80.5
Ander Capa,,,312.7824734076986,9003,100.0
Ander Guevara,,287.2305725868683,397.5610058218754,9432,104.7
Ander Herrera,,479.7583405523649,,8160,90.6
Ander Iturraspe,,232.41852487135503,159.71193415637862,2244,25.0
Ander Martin,202.47789115646256,,,129,1.5
Anderson Lima,321.4285714285714,153.33333333333331,,127,1.4
Anderson Lucoqui,,,369.35801379553914,2347,26.1
Andi Zeqiri,187.80434563723537,,,1187,13.200000000000001
Andoni Gorosabel,,,337.86808249224555,12303,136.7
Andoni López,,,260.39401534138375,90,1.0
Andre Brooks,,160.15384615384616,,938,10.4
Andre Gray,335.57237382555337,,,3619,40.2
Andre-Frank Zambo Anguissa,,375.91471684885244,,20673,229.79999999999998
Andrea Adorante,0.0,,,10,0.1
Andrea Barberis,,395.64469779790727,,3367,37.5
Andrea Barzagli,,,318.3383460435911,1707,19.0
Andrea Beghetto,,,234.41528616043848,2226,24.7
Andrea Belotti,398.77089962973946,,,16804,186.6
Andrea Bertolacci,,270.2068638804085,,3429,38.1
Andrea Cambiaso,,,281.0644478704636,9640,107.2
Andrea Carboni,,,411.2397668491996,7513,83.5
Andrea Cistana,,,451.10253351739414,1838,20.4
Andrea Colpani,343.25085761835504,,,5055,56.1
Andrea Conti,,,315.21466554287576,3489,38.800000000000004
Andrea Cossu,229.470620223398,,,243,2.7
Andrea Costa,,,485.9473301991361,1375,15.3
Andrea Danzi,,154.54545454545456,195.54492291334395,497,5.6000000000000005
Andrea Favilli,215.80969220180265,,,1203,13.4
Andrea Ferraris,80.0,,,10,0.1
