Player,Squad,Comp,Pos,Season,90s,Succ_Per90,Cmp%,PrgC_Per90,PrgR_Per90,TB_Per90,Gls_Per90,Ast_Per90,xG_Per90,xAG_Per90,SoT_Per90,SCA_Per90,KP_Per90,TklW_Per90,Int_Per90,Blocks_Per90,Clr_Per90,Recov_Per90,Carries_Per90
Meschak Elia,Nantes,fr Ligue 1,FW,2024-2025,1.9,1.053,56.5,4.737,11.579,0.0,0.526,0.0,0.579,0.105,,,1.579,2.632,0.0,1.579,1.053,7.368,32.105
Mikael Ellertsson,Venezia,it Serie A,"DF,MF",2024-2025,27.4,0.584,71.0,1.204,3.358,0.073,0.073,0.073,0.04,0.058,,,0.73,0.949,0.62,1.533,2.883,2.701,16.788
Harvey Elliott,Liverpool,eng Premier League,MF,2024-2025,4.1,0.976,82.2,2.439,7.317,0.244,0.244,0.488,0.439,0.268,,,2.439,0.732,0.244,1.707,0.732,3.659,45.854
Elif Elmas,Torino,it Serie A,"FW,MF",2024-2025,11.3,1.15,80.4,3.717,5.133,0.0,0.354,0.0,0.124,0.035,,,0.796,0.619,0.531,0.708,0.442,2.92,26.814
Elif Elmas,RB Leipzig,de Bundesliga,MF,2024-2025,0.5,2.0,81.3,0.0,4.0,2.0,0.0,0.0,0.6,0.0,,,0.0,2.0,0.0,4.0,4.0,6.0,26.0
Aritz Elustondo,Real Sociedad,es La Liga,DF,2024-2025,16.2,0.185,85.4,1.049,0.247,0.185,0.0,0.0,0.025,0.012,,,0.247,0.679,0.679,1.049,5.926,3.272,38.519
Nico Elvedi,Gladbach,de Bundesliga,DF,2024-2025,23.7,0.0,92.0,0.844,0.211,0.127,0.042,0.042,0.084,0.017,,,0.211,0.97,1.266,1.477,6.878,3.755,40.211
Adri Embarba,Rayo Vallecano,es La Liga,"FW,MF",2024-2025,17.9,1.117,63.9,2.626,6.369,0.223,0.056,0.056,0.117,0.151,,,1.117,1.117,0.726,1.006,0.782,3.743,26.089
Breel Embolo,Monaco,fr Ligue 1,"FW,MF",2024-2025,20.5,0.683,69.2,1.073,6.829,0.39,0.293,0.195,0.527,0.273,,,1.561,0.829,0.146,0.537,0.488,2.829,19.366
Emanuel Emegha,Strasbourg,fr Ligue 1,FW,2024-2025,25.5,0.275,80.3,1.451,4.078,0.0,0.549,0.118,0.667,0.094,,,0.706,0.235,0.039,0.706,1.176,2.353,13.373
Emerson,Milan,it Serie A,DF,2024-2025,15.3,0.458,86.2,1.503,4.641,0.0,0.0,0.0,0.026,0.046,,,0.98,1.83,0.915,0.85,3.66,3.856,38.17
Yunus Emre Konak,Brentford,eng Premier League,"FW,MF",2024-2025,0.5,0.0,72.2,2.0,4.0,0.0,0.0,0.0,0.4,0.0,,,0.0,8.0,0.0,4.0,0.0,4.0,34.0
