Player,Squad,Comp,Pos,Season,90s,Succ_Per90,Cmp%,PrgC_Per90,PrgR_Per90,TB_Per90,Gls_Per90,Ast_Per90,xG_Per90,xAG_Per90,SoT_Per90,SCA_Per90,KP_Per90,TklW_Per90,Int_Per90,Blocks_Per90,Clr_Per90,Recov_Per90,Carries_Per90
Makoto Hasebe,Eint Frankfurt,de Bundesliga,"DF,MF",2020-2021,25.4,0.197,88.2,1.102,0.512,0.0,0.0,0.0,0.004,0.012,0.039,1.811,0.236,1.142,1.22,1.22,2.677,7.835,43.543
Hans Hateboer,Atalanta,it Serie A,DF,2020-2021,19.6,0.255,86.4,2.092,8.112,0.0,0.102,0.051,0.163,0.092,0.663,2.5,1.02,0.867,0.867,0.408,0.459,3.316,34.745
Kortney Hause,Aston Villa,eng Premier League,DF,2020-2021,7.0,0.0,74.6,0.143,0.0,0.0,0.143,0.0,0.143,0.0,0.143,0.143,0.0,0.286,1.143,0.571,7.571,4.714,20.857
Kai Havertz,Chelsea,eng Premier League,"MF,FW",2020-2021,16.9,1.124,83.5,2.781,7.87,0.118,0.237,0.178,0.325,0.077,0.947,2.899,1.065,0.533,0.237,1.479,1.302,4.201,34.26
Isaac Hayden,Newcastle Utd,eng Premier League,"MF,DF",2020-2021,21.6,0.324,78.8,0.324,0.926,0.046,0.0,0.0,0.032,0.014,0.093,0.972,0.324,1.343,1.991,1.481,2.176,5.37,21.528
Eden Hazard,Real Madrid,es La Liga,"FW,MF",2020-2021,5.9,2.373,87.6,4.237,12.034,0.169,0.508,0.339,0.203,0.136,0.847,3.051,1.017,0.339,0.508,0.508,0.0,3.051,47.119
Thorgan Hazard,Dortmund,de Bundesliga,"MF,FW",2020-2021,7.3,0.822,80.2,2.74,7.671,0.274,0.137,0.411,0.11,0.479,0.548,2.877,1.918,0.274,1.37,0.548,0.137,6.027,30.274
Jonas Hector,Köln,de Bundesliga,"MF,FW",2020-2021,14.3,0.42,75.5,0.559,3.986,0.0,0.21,0.07,0.217,0.112,0.559,3.007,1.259,1.538,1.329,1.678,1.399,5.734,24.545
Michael Hector,Fulham,eng Premier League,DF,2020-2021,2.9,1.034,79.1,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,1.034,0.345,0.69,0.0,1.379,2.069,6.552,43.448
Hwang Hee-chan,RB Leipzig,de Bundesliga,"FW,MF",2020-2021,5.1,1.569,64.1,2.745,7.843,0.0,0.0,0.196,0.353,0.098,0.98,1.961,0.588,0.392,0.196,0.784,0.196,2.941,19.804
Ahmed Hegazi,West Brom,eng Premier League,DF,2020-2021,1.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,7.0,8.0,28.0
Dominique Heintz,Freiburg,de Bundesliga,DF,2020-2021,15.2,0.263,86.1,0.724,0.263,0.0,0.0,0.0,0.013,0.02,0.066,0.724,0.197,0.724,2.303,0.658,3.224,5.461,47.829
Jordan Henderson,Liverpool,eng Premier League,"MF,DF",2020-2021,18.9,0.476,86.1,2.434,1.111,0.212,0.053,0.053,0.069,0.079,0.212,1.905,0.741,0.794,1.799,0.635,1.587,8.889,73.492
Jeff Hendrick,Newcastle Utd,eng Premier League,MF,2020-2021,15.8,0.57,79.6,0.443,1.519,0.0,0.127,0.063,0.07,0.07,0.127,1.266,0.38,0.19,1.203,0.886,1.139,4.304,22.215
Benjamin Henrichs,RB Leipzig,de Bundesliga,"DF,MF",2020-2021,6.0,0.167,75.0,2.0,5.333,0.0,0.0,0.167,0.033,0.1,0.333,1.167,0.5,1.167,1.333,1.5,1.333,7.167,34.5
Dalbert Henrique,Rennes,fr Ligue 1,DF,2020-2021,4.1,0.244,84.9,2.683,4.634,0.0,0.0,0.244,0.024,0.098,0.0,1.463,0.976,1.463,1.22,1.951,1.951,5.366,42.439
Eduardo Henrique,Crotone,it Serie A,MF,2020-2021,10.3,1.262,81.7,1.456,3.301,0.0,0.097,0.0,0.087,0.019,0.097,1.068,0.583,0.194,0.68,0.583,0.68,5.243,27.961
Luis Henrique,Marseille,fr Ligue 1,"FW,DF",2020-2021,7.5,1.733,76.8,3.6,11.067,0.133,0.0,0.667,0.04,0.293,0.533,3.467,2.0,0.533,0.933,0.667,0.533,6.667,31.6
Christophe Hérelle,Brest,fr Ligue 1,DF,2020-2021,15.3,0.261,87.3,0.588,0.196,0.0,0.0,0.0,0.059,0.007,0.0,0.85,0.196,0.85,2.026,0.85,2.68,4.248,42.092
Jérôme Hergault,Lorient,fr Ligue 1,"DF,MF",2020-2021,18.1,0.552,76.7,1.381,3.757,0.0,0.11,0.0,0.022,0.017,0.11,0.939,0.331,1.271,1.215,0.884,1.878,5.414,30.387
Mario Hermoso,Atlético Madrid,es La Liga,DF,2020-2021,28.6,0.315,83.7,1.049,0.804,0.07,0.035,0.035,0.038,0.021,0.14,1.224,0.35,1.084,1.259,0.804,2.552,5.28,43.147
Aridane Hernández,Osasuna,es La Liga,DF,2020-2021,22.5,0.222,78.5,0.133,0.0,0.0,0.0,0.0,0.004,0.018,0.0,0.444,0.222,0.489,1.511,0.978,5.644,6.089,17.956
Lucas Hernández,Bayern Munich,de Bundesliga,DF,2020-2021,17.7,1.073,83.5,2.373,4.576,0.056,0.0,0.113,0.04,0.102,0.056,1.864,0.734,1.751,1.073,1.356,2.147,5.876,46.949
Pablo Hernández,Leeds United,eng Premier League,MF,2020-2021,4.7,2.128,74.2,7.021,7.234,0.213,0.0,0.426,0.234,0.149,0.638,6.17,1.277,0.638,0.0,0.426,0.0,7.447,54.681
Theo Hernández,Milan,it Serie A,DF,2020-2021,32.6,2.239,80.8,4.479,5.798,0.031,0.215,0.153,0.132,0.15,0.399,2.883,1.288,0.89,1.043,0.89,1.963,6.472,41.472
Hernani,Parma,it Serie A,MF,2020-2021,24.3,1.481,78.2,2.099,3.498,0.041,0.288,0.123,0.14,0.111,0.329,2.963,1.481,1.029,1.276,1.44,1.646,4.444,29.259
Ander Herrera,Paris S-G,fr Ligue 1,MF,2020-2021,20.6,0.583,90.3,1.311,2.767,0.388,0.049,0.146,0.068,0.15,0.194,2.621,1.165,1.699,1.505,1.505,1.068,6.748,58.495
Héctor Herrera,Atlético Madrid,es La Liga,MF,2020-2021,7.6,0.526,89.2,0.526,0.921,0.132,0.0,0.132,0.039,0.092,0.132,2.105,0.789,0.921,1.842,0.921,1.053,7.763,55.526
Yangel Herrera,Granada,es La Liga,MF,2020-2021,25.7,0.817,66.6,0.506,1.401,0.039,0.117,0.039,0.101,0.039,0.272,1.634,0.428,1.012,1.012,2.062,1.245,5.642,20.195
Patrick Herrmann,Gladbach,de Bundesliga,"FW,MF",2020-2021,9.7,1.031,67.7,2.371,8.247,0.103,0.0,0.309,0.237,0.258,0.722,4.639,2.268,0.619,1.031,1.649,0.825,5.052,23.093
Pablo Hervías,Valladolid,es La Liga,"DF,MF",2020-2021,13.4,1.567,74.5,5.448,4.925,0.0,0.0,0.373,0.037,0.299,0.522,4.03,2.239,0.896,0.821,0.448,0.597,8.06,36.119
Përparim Hetemaj,Benevento,it Serie A,MF,2020-2021,24.6,0.732,75.5,1.098,2.114,0.0,0.0,0.081,0.024,0.057,0.122,1.301,0.569,1.098,0.894,1.667,0.976,6.423,24.593
Son Heung-min,Tottenham,eng Premier League,FW,2020-2021,34.6,1.127,76.0,2.543,7.688,0.029,0.491,0.289,0.28,0.243,1.012,3.728,2.168,0.52,0.405,0.809,0.231,4.191,25.491
Aaron Hickey,Bologna,it Serie A,DF,2020-2021,8.4,0.833,84.9,2.5,3.333,0.0,0.0,0.0,0.012,0.012,0.0,0.833,0.238,0.952,1.786,0.714,1.786,6.071,33.571
Vitorino Hilton,Montpellier,fr Ligue 1,DF,2020-2021,23.5,0.043,81.2,0.128,0.17,0.0,0.0,0.043,0.051,0.013,0.128,0.681,0.043,0.426,1.617,1.447,4.426,6.298,30.128
Martin Hinteregger,Eint Frankfurt,de Bundesliga,DF,2020-2021,28.1,0.178,81.4,0.819,0.641,0.036,0.071,0.036,0.085,0.043,0.249,1.21,0.356,1.744,1.566,1.103,3.274,6.833,43.559
Wesley Hoedt,Lazio,it Serie A,DF,2020-2021,10.6,0.283,89.6,0.189,0.094,0.0,0.0,0.0,0.009,0.009,0.0,0.943,0.283,1.509,1.604,0.849,4.528,7.17,46.038
Ki-Jana Hoever,Wolves,eng Premier League,"DF,MF",2020-2021,6.4,2.031,74.2,2.656,5.938,0.0,0.0,0.0,0.0,0.031,0.0,1.406,0.469,0.938,1.406,0.312,3.594,7.031,37.344
Nicolas Höfler,Freiburg,de Bundesliga,MF,2020-2021,30.3,1.122,83.9,0.858,0.462,0.066,0.033,0.099,0.046,0.043,0.264,1.518,0.495,0.924,2.178,1.122,1.353,6.04,29.472
Jonas Hofmann,Gladbach,de Bundesliga,"FW,MF",2020-2021,20.2,0.792,73.7,2.277,5.248,0.099,0.297,0.545,0.243,0.262,0.396,4.356,2.822,0.99,1.337,1.337,0.446,5.99,33.614
Marco Höger,Köln,de Bundesliga,"DF,MF",2020-2021,0.6,3.333,63.6,1.667,5.0,1.667,0.0,0.0,0.0,0.0,0.0,1.667,0.0,0.0,3.333,3.333,1.667,1.667,31.667
Rob Holding,Arsenal,eng Premier League,DF,2020-2021,28.4,0.282,86.8,0.352,0.035,0.0,0.0,0.035,0.035,0.007,0.07,0.493,0.141,0.704,0.845,1.303,4.225,4.859,47.535
Lucas Höler,Freiburg,de Bundesliga,"FW,MF",2020-2021,23.2,1.164,64.7,2.457,6.379,0.086,0.172,0.172,0.366,0.121,0.517,2.371,0.905,1.034,0.69,0.819,0.603,4.44,23.922
Mason Holgate,Everton,eng Premier League,DF,2020-2021,25.4,0.315,76.5,0.827,1.417,0.039,0.039,0.0,0.039,0.028,0.118,0.866,0.315,1.417,1.378,1.457,3.543,5.472,29.764
Jordan Holsgrove,Celta Vigo,es La Liga,MF,2020-2021,1.6,0.625,86.5,0.625,2.5,0.0,0.0,0.0,0.062,0.0,0.0,1.25,0.625,2.5,1.25,1.25,0.625,5.0,57.5
Franck Honorat,Brest,fr Ligue 1,"MF,FW",2020-2021,27.3,0.916,64.9,3.04,8.315,0.183,0.293,0.147,0.154,0.289,0.879,4.139,2.344,0.476,0.403,0.549,0.879,4.542,26.41
Matthew Hoppe,Schalke 04,de Bundesliga,FW,2020-2021,14.5,0.897,68.0,1.172,4.759,0.069,0.414,0.069,0.262,0.055,0.552,1.448,0.552,0.414,0.276,0.552,1.034,1.724,13.103
Jannes Horn,Köln,de Bundesliga,DF,2020-2021,19.6,0.408,77.7,1.735,1.888,0.0,0.0,0.051,0.01,0.082,0.051,1.633,0.663,0.969,0.51,0.969,2.296,5.102,27.806
Conor Hourihane,Aston Villa,eng Premier League,MF,2020-2021,2.5,0.0,74.4,0.4,4.4,0.0,0.4,0.4,0.28,0.24,0.8,3.2,2.0,0.0,0.0,1.2,0.8,4.4,32.8
Ajdin Hrustic,Eint Frankfurt,de Bundesliga,"MF,DF",2020-2021,3.0,1.333,79.8,3.0,3.0,0.0,0.333,0.0,0.1,0.033,1.333,3.667,1.333,1.667,1.333,0.667,1.0,8.0,56.667
Florian Hübner,Union Berlin,de Bundesliga,DF,2020-2021,5.8,0.172,74.5,0.345,0.345,0.0,0.0,0.0,0.017,0.0,0.172,0.517,0.172,0.862,2.241,1.207,3.621,4.483,23.966
Callum Hudson-Odoi,Chelsea,eng Premier League,"FW,DF",2020-2021,11.8,1.271,80.9,7.542,13.136,0.085,0.169,0.254,0.11,0.237,0.508,5.339,2.627,1.271,0.508,1.271,0.508,3.983,40.424
Mats Hummels,Dortmund,de Bundesliga,DF,2020-2021,31.3,0.224,87.4,0.543,0.224,0.0,0.16,0.0,0.147,0.026,0.511,1.054,0.383,1.278,2.332,0.99,3.898,7.412,58.243
Adrien Hunou,Rennes,fr Ligue 1,"FW,MF",2020-2021,6.5,0.154,78.6,1.231,9.231,0.0,0.615,0.0,0.708,0.154,1.538,2.154,0.923,0.462,0.154,1.077,0.308,2.154,20.154
Klaas-Jan Huntelaar,Schalke 04,de Bundesliga,FW,2020-2021,6.5,0.154,77.4,0.154,3.231,0.0,0.308,0.154,0.538,0.046,0.769,2.154,0.769,0.308,0.308,0.462,0.462,1.538,14.462
Elseid Hysaj,Napoli,it Serie A,DF,2020-2021,19.6,1.122,83.9,2.5,2.5,0.102,0.0,0.102,0.015,0.066,0.0,1.99,0.765,0.867,1.531,0.918,2.653,5.918,42.551
Pierre Højbjerg,Tottenham,eng Premier League,MF,2020-2021,38.0,0.605,88.2,0.947,0.684,0.053,0.053,0.105,0.029,0.042,0.184,1.553,0.421,1.342,1.263,1.342,1.737,7.789,47.211
Simone Iacoponi,Parma,it Serie A,DF,2020-2021,13.3,0.226,86.0,0.526,1.353,0.0,0.0,0.0,0.008,0.0,0.075,0.451,0.0,0.902,0.827,0.677,3.158,5.414,38.346
Iago,Augsburg,de Bundesliga,DF,2020-2021,17.3,0.462,71.3,2.254,3.873,0.0,0.058,0.058,0.064,0.064,0.116,1.85,0.867,1.561,1.272,0.983,3.179,4.624,29.538
Roger Ibanez,Roma,it Serie A,DF,2020-2021,26.6,0.602,87.0,1.504,0.338,0.075,0.0,0.075,0.045,0.056,0.15,1.09,0.414,1.391,2.556,1.429,2.932,7.03,42.481
Vedad Ibišević,Schalke 04,de Bundesliga,FW,2020-2021,1.7,0.0,71.9,0.588,5.294,0.0,0.0,0.0,0.647,0.059,0.0,2.941,1.176,0.0,0.588,0.588,0.588,0.0,11.765
Vicente Iborra,Villarreal,es La Liga,MF,2020-2021,10.3,0.388,89.7,0.291,0.388,0.0,0.0,0.0,0.019,0.01,0.0,0.971,0.194,0.777,1.359,1.359,2.427,6.602,35.437
Didier Ibrahim Ndong,Dijon,fr Ligue 1,MF,2020-2021,29.0,0.759,86.5,1.345,0.966,0.069,0.0,0.034,0.007,0.041,0.034,1.103,0.345,1.103,1.276,1.207,1.379,7.138,37.793
Zlatan Ibrahimović,Milan,it Serie A,FW,2020-2021,16.6,0.663,69.9,1.867,6.988,0.301,0.904,0.12,0.976,0.108,2.048,3.916,1.205,0.241,0.361,0.301,1.627,1.265,21.446
Mauro Icardi,Paris S-G,fr Ligue 1,FW,2020-2021,12.0,0.25,78.0,0.25,3.833,0.0,0.583,0.25,0.717,0.225,1.083,2.0,1.25,0.167,0.25,0.25,0.583,1.667,9.667
Blendi Idrizi,Schalke 04,de Bundesliga,MF,2020-2021,2.6,1.538,69.4,2.308,0.769,0.0,0.385,0.0,0.077,0.115,0.385,0.385,0.385,1.538,1.154,2.308,0.385,9.615,18.846
Iglesias,Getafe,es La Liga,"DF,MF",2020-2021,6.7,0.746,51.4,0.746,2.09,0.0,0.0,0.0,0.015,0.06,0.149,1.194,0.597,2.239,2.537,1.642,2.836,4.925,18.806
Borja Iglesias,Betis,es La Liga,FW,2020-2021,15.7,0.637,69.9,0.446,4.586,0.0,0.701,0.0,0.535,0.051,0.637,1.656,0.446,0.064,0.191,0.446,0.573,1.656,14.013
Igor,Fiorentina,it Serie A,DF,2020-2021,13.0,0.538,88.7,2.077,0.923,0.0,0.0,0.0,0.023,0.008,0.077,1.0,0.231,0.692,1.769,1.308,2.615,4.538,45.769
Kelechi Iheanacho,Leicester City,eng Premier League,FW,2020-2021,16.2,1.975,78.1,1.914,7.654,0.494,0.741,0.123,0.506,0.228,1.481,3.21,1.728,0.309,0.123,0.864,0.062,3.642,27.901
Jonathan Ikone,Lille,fr Ligue 1,"MF,FW",2020-2021,24.2,2.19,80.0,2.686,4.835,0.372,0.165,0.207,0.178,0.12,0.455,2.603,0.992,0.496,0.289,0.661,0.372,3.967,29.421
Yun Il-lok,Montpellier,fr Ligue 1,"MF,FW",2020-2021,3.5,1.143,71.7,2.286,3.143,0.0,0.0,0.0,0.171,0.143,0.0,3.143,1.143,0.0,1.429,0.0,0.286,4.857,19.143
Ivan Ilić,Hellas Verona,it Serie A,MF,2020-2021,20.4,1.471,83.4,1.863,1.52,0.0,0.098,0.0,0.078,0.044,0.147,2.304,0.833,0.686,1.324,0.833,1.275,6.127,36.618
Josip Iličić,Atalanta,it Serie A,"MF,FW",2020-2021,17.0,3.353,72.2,5.176,11.412,0.529,0.353,0.529,0.288,0.6,1.0,6.471,3.588,0.235,0.118,0.706,0.0,4.412,54.824
Asier Illarramendi,Real Sociedad,es La Liga,MF,2020-2021,3.7,0.0,90.7,1.351,0.811,0.0,0.0,0.0,0.0,0.0,0.0,1.892,0.27,0.541,1.351,0.541,1.892,2.973,46.757
Stefan Ilsanker,Eint Frankfurt,de Bundesliga,"MF,DF",2020-2021,17.5,0.514,78.7,0.8,0.743,0.057,0.057,0.0,0.074,0.011,0.229,1.143,0.286,1.143,1.714,1.714,2.914,6.914,28.0
Ciro Immobile,Lazio,it Serie A,FW,2020-2021,31.7,0.852,72.6,2.334,7.886,0.095,0.631,0.189,0.625,0.196,1.388,3.722,1.672,0.41,0.189,0.41,0.284,2.492,22.082
Riccardo Improta,Benevento,it Serie A,"DF,MF",2020-2021,25.9,0.927,70.3,2.239,5.367,0.0,0.039,0.0,0.077,0.093,0.232,2.317,0.811,0.888,1.081,0.888,1.815,4.672,25.676
Roberto Inglese,Parma,it Serie A,FW,2020-2021,6.4,1.25,63.8,0.156,4.844,0.156,0.0,0.312,0.125,0.25,0.781,1.25,0.625,0.312,0.0,1.562,0.469,2.969,17.344
Danny Ings,Southampton,eng Premier League,FW,2020-2021,24.1,1.245,63.9,1.535,5.56,0.124,0.498,0.166,0.353,0.087,0.996,2.448,0.913,0.539,0.124,1.618,1.12,3.029,19.046
Marcus Ingvartsen,Union Berlin,de Bundesliga,"MF,FW",2020-2021,21.8,0.734,69.4,1.33,4.908,0.138,0.138,0.229,0.183,0.096,0.596,2.706,1.009,0.505,0.826,1.009,0.459,5.78,22.339
Lorenzo Insigne,Napoli,it Serie A,FW,2020-2021,31.8,2.044,79.4,4.34,8.491,0.314,0.597,0.252,0.491,0.267,1.258,5.157,1.981,0.566,1.164,0.943,0.189,6.258,46.195
Roberto Insigne,Benevento,it Serie A,"MF,FW",2020-2021,17.8,1.067,79.5,2.416,6.573,0.056,0.112,0.225,0.219,0.213,0.674,4.326,2.247,0.562,0.393,0.562,0.506,4.438,27.865
Pablo Insua,Huesca,es La Liga,DF,2020-2021,17.6,0.17,85.0,0.17,0.17,0.0,0.0,0.0,0.011,0.0,0.0,0.511,0.057,1.023,1.364,0.795,3.864,3.409,27.33
Takashi Inui,Eibar,es La Liga,"MF,FW",2020-2021,20.2,1.287,66.5,2.921,5.891,0.05,0.05,0.0,0.119,0.084,0.842,2.129,0.693,0.396,0.594,0.941,0.347,4.406,23.416
Artur Ioniță,Benevento,it Serie A,MF,2020-2021,31.5,0.54,76.1,0.952,1.714,0.0,0.063,0.0,0.054,0.029,0.222,0.889,0.413,0.698,0.603,1.206,0.889,3.968,14.762
Alexander Isak,Real Sociedad,es La Liga,FW,2020-2021,26.0,1.462,70.7,1.692,5.885,0.192,0.654,0.077,0.646,0.069,1.538,1.923,0.385,0.192,0.115,0.654,0.269,1.923,15.5
Isco,Real Madrid,es La Liga,MF,2020-2021,10.1,3.069,86.1,3.564,5.149,0.0,0.0,0.198,0.149,0.139,0.297,4.158,1.881,0.891,0.198,0.693,0.198,4.752,59.604
Ardian Ismajli,Spezia,it Serie A,DF,2020-2021,14.4,0.0,86.7,0.278,0.0,0.0,0.069,0.069,0.049,0.042,0.069,0.625,0.139,0.625,1.597,0.694,3.611,4.722,36.389
Branislav Ivanović,West Brom,eng Premier League,DF,2020-2021,8.5,0.0,83.4,0.0,0.118,0.0,0.0,0.0,0.059,0.012,0.118,0.353,0.118,0.588,0.941,1.294,2.941,4.235,17.647
Alex Iwobi,Everton,eng Premier League,"FW,MF",2020-2021,17.1,2.632,75.6,4.211,5.789,0.117,0.058,0.117,0.053,0.111,0.175,2.632,0.936,0.585,0.936,1.17,0.819,5.439,33.684
Jairo Izquierdo,Cádiz,es La Liga,"MF,DF",2020-2021,14.2,0.986,71.7,2.324,4.014,0.07,0.07,0.0,0.056,0.056,0.211,1.268,0.493,0.915,0.986,0.493,0.845,6.408,22.817
Armando Izzo,Torino,it Serie A,DF,2020-2021,22.3,0.538,80.6,1.57,0.897,0.0,0.09,0.0,0.067,0.013,0.135,1.57,0.224,0.717,2.377,0.987,2.78,6.009,36.233
Phil Jagielka,Sheffield Utd,eng Premier League,DF,2020-2021,5.8,0.0,70.8,0.172,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.172,0.0,0.69,1.724,1.897,4.483,6.207,20.862
Alireza Jahanbakhsh,Brighton,eng Premier League,"FW,MF",2020-2021,5.9,1.864,70.7,3.051,8.983,0.339,0.0,0.169,0.254,0.508,0.508,3.559,1.695,1.186,1.356,1.356,0.169,4.237,37.119
Ismail Jakobs,Köln,de Bundesliga,"MF,FW",2020-2021,19.2,0.469,65.3,1.771,6.979,0.0,0.052,0.052,0.125,0.099,0.312,1.823,0.781,0.521,0.833,0.938,1.875,4.375,23.385
Daniel James,Manchester Utd,eng Premier League,FW,2020-2021,10.1,1.089,76.3,3.564,8.317,0.0,0.297,0.099,0.218,0.089,0.594,1.683,0.99,0.891,0.0,0.99,0.594,4.455,24.257
Reece James,Chelsea,eng Premier League,DF,2020-2021,26.4,1.288,84.1,3.03,7.727,0.0,0.038,0.076,0.061,0.133,0.417,3.068,1.553,1.326,0.644,1.364,1.97,5.795,48.939
Saidy Janko,Valladolid,es La Liga,DF,2020-2021,13.6,1.471,72.9,2.206,4.706,0.0,0.0,0.074,0.037,0.037,0.074,1.838,0.662,0.735,1.324,0.662,3.456,4.044,25.368
Jakub Jankto,Sampdoria,it Serie A,MF,2020-2021,26.8,0.373,67.5,1.94,5.896,0.075,0.224,0.112,0.172,0.131,0.373,2.313,1.269,0.634,0.896,0.597,1.269,5.261,24.067
Tony Jantschke,Gladbach,de Bundesliga,DF,2020-2021,3.0,0.0,91.6,0.0,0.333,0.0,0.0,0.0,0.067,0.0,0.333,1.0,0.0,0.667,1.333,2.0,2.333,8.667,63.0
Adnan Januzaj,Real Sociedad,es La Liga,"FW,MF",2020-2021,11.3,3.982,70.0,3.982,10.265,0.177,0.354,0.442,0.442,0.354,0.796,4.779,2.035,0.708,0.265,0.619,0.354,5.31,42.832
Jason,Valencia,es La Liga,"MF,DF",2020-2021,4.9,1.633,62.6,3.469,4.694,0.204,0.0,0.0,0.041,0.102,0.0,2.449,1.429,0.612,2.041,1.224,0.816,4.694,26.735
Luis Javier Suárez,Granada,es La Liga,"FW,MF",2020-2021,18.5,1.514,58.6,1.784,4.865,0.054,0.27,0.054,0.346,0.108,0.919,2.324,0.811,0.595,0.432,0.541,0.595,3.351,15.459
Corentin Jean,Lens,fr Ligue 1,"FW,MF",2020-2021,6.4,1.25,73.8,1.406,8.594,0.0,0.156,0.156,0.266,0.078,1.562,4.219,1.25,0.469,0.312,0.625,0.312,2.969,26.25
Daniel Jebbison,Sheffield Utd,eng Premier League,FW,2020-2021,3.2,0.625,66.7,0.625,1.875,0.0,0.312,0.0,0.344,0.0,0.625,0.938,0.312,0.625,0.312,1.875,0.0,4.688,10.312
Tin Jedvaj,Leverkusen,de Bundesliga,DF,2020-2021,1.7,0.0,81.0,0.0,0.0,0.588,0.0,0.0,0.0,0.0,0.0,0.588,0.0,1.176,1.176,1.176,5.294,5.294,40.588
Fredrik Jensen,Augsburg,de Bundesliga,"FW,MF",2020-2021,4.2,1.429,65.0,0.952,6.19,0.0,0.0,0.238,0.071,0.286,0.238,2.619,1.429,0.476,0.476,0.952,1.429,5.476,21.667
Gabriel Jesus,Manchester City,eng Premier League,FW,2020-2021,22.9,2.096,84.0,2.358,8.821,0.087,0.393,0.175,0.38,0.118,0.699,3.406,1.31,0.262,0.655,0.699,0.218,3.755,27.729
Juan Jesus,Roma,it Serie A,DF,2020-2021,1.7,0.588,91.7,0.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.588,1.176,0.588,2.941,4.118,50.588
Raúl Jiménez,Wolves,eng Premier League,FW,2020-2021,9.1,1.099,78.1,2.527,5.055,0.0,0.44,0.0,0.264,0.033,1.099,2.198,0.549,0.22,0.879,0.22,1.319,3.516,25.604
Joaquín,Betis,es La Liga,"FW,MF",2020-2021,14.3,1.399,79.8,3.217,8.462,0.07,0.14,0.42,0.042,0.21,0.35,3.776,2.238,0.21,1.189,0.559,0.769,3.846,35.874
John Joe,Getafe,es La Liga,"MF,FW",2020-2021,0.7,0.0,47.4,1.429,14.286,0.0,0.0,0.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.857,28.571
Joelinton,Newcastle Utd,eng Premier League,"FW,MF",2020-2021,22.0,1.682,71.4,1.545,4.727,0.0,0.182,0.091,0.245,0.109,0.864,2.455,0.773,0.955,0.409,1.364,1.091,4.773,23.318
Marco John,Hoffenheim,de Bundesliga,DF,2020-2021,11.1,1.351,77.1,1.892,5.676,0.0,0.0,0.0,0.009,0.18,0.0,1.982,0.901,1.351,1.441,1.622,1.892,5.135,30.541
Ben Johnson,West Ham,eng Premier League,"DF,FW",2020-2021,5.8,0.69,69.2,1.897,4.138,0.0,0.172,0.0,0.069,0.069,0.172,1.207,0.69,0.862,1.897,0.862,1.552,5.0,26.724
Curtis Jones,Liverpool,eng Premier League,MF,2020-2021,13.1,1.679,91.6,3.206,6.031,0.076,0.076,0.153,0.13,0.115,0.687,3.053,0.916,0.458,1.45,0.992,0.84,6.107,60.916
Frenkie de Jong,Barcelona,es La Liga,"MF,DF",2020-2021,35.0,1.657,91.3,2.714,3.686,0.057,0.086,0.114,0.137,0.166,0.171,2.543,1.4,0.771,1.086,0.571,0.829,6.143,61.343
Luuk de Jong,Sevilla,es La Liga,FW,2020-2021,14.1,0.638,71.9,0.426,4.681,0.0,0.284,0.0,0.333,0.071,0.78,1.773,0.78,0.355,0.355,0.78,1.064,2.695,16.099
Jony,Osasuna,es La Liga,"MF,FW",2020-2021,9.7,1.753,56.9,2.474,8.66,0.103,0.0,0.206,0.072,0.278,0.412,4.227,1.959,0.309,1.443,0.515,0.309,3.814,31.959
Joan Jordán,Sevilla,es La Liga,MF,2020-2021,26.7,1.124,87.1,1.498,2.21,0.15,0.037,0.225,0.064,0.124,0.15,2.884,1.423,1.049,1.011,0.824,0.936,6.367,48.277
Jorginho,Chelsea,eng Premier League,MF,2020-2021,22.3,0.762,89.1,0.717,0.628,0.179,0.314,0.045,0.327,0.076,0.0,2.422,1.076,1.345,1.794,1.48,0.942,7.534,51.3
Josan,Elche,es La Liga,"MF,DF",2020-2021,21.4,1.869,74.5,3.037,4.299,0.0,0.187,0.093,0.056,0.07,0.374,1.495,0.748,0.841,0.981,1.121,1.215,4.72,28.271
Willian José,Wolves,eng Premier League,FW,2020-2021,12.3,0.65,79.7,0.976,4.472,0.081,0.081,0.0,0.13,0.098,0.569,2.195,0.976,0.081,0.081,0.488,0.976,3.252,16.667
Willian José,Real Sociedad,es La Liga,FW,2020-2021,7.7,0.26,74.2,0.39,3.766,0.13,0.39,0.13,0.403,0.156,1.039,1.818,1.039,0.13,0.0,0.39,1.039,3.896,21.429
Joselu,Alavés,es La Liga,FW,2020-2021,33.6,0.833,57.1,0.744,4.077,0.0,0.327,0.089,0.381,0.113,0.833,2.083,0.893,0.417,0.446,0.774,1.726,3.512,20.565
Josema,Elche,es La Liga,DF,2020-2021,21.8,0.413,77.0,1.33,1.376,0.0,0.0,0.046,0.014,0.023,0.0,0.872,0.275,1.284,1.697,0.78,4.22,4.174,28.532
