Player,Squad,tm_player_id,MarketValue_EUR,MatchScore
Rémy Cabella,Saint-Étienne,113707.0,1500000.0,100
Gustavo Cabral,Celta Vigo,30677.0,1000000.0,100
Leandro Cabrera,Crotone,102423.0,1000000.0,100
Leandro Cabrera,Getafe,102423.0,1000000.0,100
Fabrizio Cacciatore,Chievo,85605.0,100000.0,100
Martín Cáceres,Hellas Verona,54935.0,250000.0,100
Martín Cáceres,Lazio,54935.0,250000.0,100
Cafú,Metz,203655.0,600000.0,100
Jonathan Cafu,Bordeaux,347100.0,450000.0,100
Gary Cahill,Chelsea,27511.0,400000.0,100
Yannick Cahuzac,Toulouse,44686.0,300000.0,100
Felipe Caicedo,Lazio,37834.0,400000.0,100
Caiuby,Augsburg,54137.0,75000.0,100
Cala,Getafe,67089.0,600000.0,100
Davide Calabria,Milan,262523.0,4500000.0,100
Mattia Caldara,Atalanta,197470.0,800000.0,100
Luca Caldirola,Werder Bremen,88680.0,1300000.0,100
Hakan Çalhanoğlu,Milan,126414.0,25000000.0,100
Fabrizio Caligara,Cagliari,386574.0,1800000.0,100
Daniel Caligiuri,Schalke 04,38410.0,400000.0,100
José Callejón,Napoli,61253.0,800000.0,100
Jonathan Calleri,Las Palmas,284727.0,4000000.0,100
Simone Calvano,Hellas Verona,136091.0,175000.0,100
Dominic Calvert-Lewin,Everton,306024.0,15000000.0,100
Ignacio Camacho,Wolfsburg,58874.0,1000000.0,100
Abdoul Camara,Guingamp,60588.0,1000000.0,100
Souleymane Camara,Montpellier,5303.0,200000.0,100
Víctor Camarasa,Betis,263856.0,800000.0,100
Geoff Cameron,Stoke City,31642.0,150000.0,100
José Campaña,Levante,120095.0,1500000.0,100
Joel Campbell,Betis,131248.0,1500000.0,100
Tyrese Campbell,Stoke City,382554.0,2500000.0,100
Emre Can,Liverpool,119296.0,7000000.0,100
Sergio Canales,Real Sociedad,66106.0,13000000.0,100
João Cancelo,Inter,182712.0,25000000.0,100
João Cancelo,Valencia,182712.0,25000000.0,100
Antonio Candreva,Inter,25488.0,1000000.0,100
Paolo Cannavaro,Sassuolo,5858.0,200000.0,100
Ander Capa,Eibar,197545.0,1800000.0,100
Pierrick Capelle,Angers,214532.0,200000.0,100
Leonardo Capezzi,Sampdoria,84442.0,350000.0,100
Étienne Capoue,Watford,63494.0,1500000.0,100
Elio Capradossi,Roma,238947.0,300000.0,100
Gianluca Caprari,Sampdoria,146752.0,4000000.0,100
Marco Capuano,Crotone,164091.0,250000.0,100
Marco Capuano,Cagliari,164091.0,250000.0,100
Antonio Caracciolo,Hellas Verona,149525.0,500000.0,100
Diego Carlos,Nantes,329145.0,12000000.0,100
Lionel Carole,Sevilla,11530.0,300000.0,100
Yannick Carrasco,Atlético Madrid,140776.0,14000000.0,100
Michael Carrick,Manchester Utd,3878.0,1000000.0,100
Daniel Carriço,Sevilla,37712.0,150000.0,100
André Carrillo,Watford,135057.0,2000000.0,100
Guido Carrillo,Southampton,184672.0,500000.0,100
Guido Carrillo,Monaco,184672.0,500000.0,100
Thomas Carrique,Bordeaux,540676.0,400000.0,100
Andy Carroll,West Ham,48066.0,300000.0,100
Tom Carroll,Swansea City,121279.0,1000000.0,100
Federico Cartabia,La Coruña,242548.0,2500000.0,86
Dani Carvajal,Real Madrid,34706.0,50000.0,100
Casemiro,Real Madrid,16306.0,8000000.0,100
Francesco Cassata,Sassuolo,301236.0,700000.0,100
Timothy Castagne,Atalanta,262226.0,10000000.0,100
Leandro Castán,Cagliari,54929.0,550000.0,100
Dani Castellano,Las Palmas,64363.0,150000.0,100
Javi Castellano,Las Palmas,65489.0,100000.0,100
Samu Castillejo,Villarreal,195171.0,600000.0,100
