Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,Season
Timo Baumgartl,Stuttgart,de Bundesliga,DF,21.0,2610,29.0,,,,,759.5097729410957,World Class,2017-2018
Julian Baumgartlinger,Leverkusen,de Bundesliga,MF,29.0,1393,15.5,,,400.65057406723247,Top Starter,,,2017-2018
Jon Bautista,Real Sociedad,es La Liga,FW,22.0,181,2.0,,,,,,,2017-2018
Paul Baysse,Málaga,es La Liga,DF,29.0,1239,13.8,,,,,629.2773928081881,Top Starter,2017-2018
Paul Baysse,Bordeaux,fr Ligue 1,DF,29.0,566,6.3,,,,,496.43892587142113,Top Starter,2017-2018
Noah Joel Sarenren Bazee,Hannover 96,de Bundesliga,FW,20.0,118,1.3,,,,,,,2017-2018
Hervé Bazile,Caen,fr Ligue 1,Off_MF,27.0,876,9.7,276.3901411018153,Solid Squad Player,,,,,2017-2018
Riechedly Bazoer,Wolfsburg,de Bundesliga,MF,20.0,592,6.6,,,247.93729127578456,Solid Squad Player,,,2017-2018
Enrico Bearzotti,Hellas Verona,it Serie A,DF,20.0,410,4.6,,,,,,,2017-2018
Claudio Beauvue,Leganés,es La Liga,FW,29.0,1672,18.6,192.58395515511268,Below Big-5 Level,,,,,2017-2018
Bebé,Eibar,es La Liga,Off_MF,27.0,365,4.1,,,,,,,2017-2018
Ihlas Bebou,Hannover 96,de Bundesliga,Off_MF,23.0,2140,23.8,509.1314617901106,Top Starter,,,,,2017-2018
Andreas Beck,Stuttgart,de Bundesliga,DF,30.0,1927,21.4,,,,,553.6174707290435,Top Starter,2017-2018
Henri Bedimo,Marseille,fr Ligue 1,DF,33.0,42,0.5,,,,,,,2017-2018
Jan Bednarek,Southampton,eng Premier League,DF,21.0,426,4.7,,,,,,,2017-2018
Valon Behrami,Udinese,it Serie A,MF,32.0,1398,15.5,,,308.0539745956704,Solid Squad Player,,,2017-2018
Ishak Belfodil,Werder Bremen,de Bundesliga,FW,25.0,1350,15.0,435.3440814431526,Top Starter,,,,,2017-2018
Stefan Bell,Mainz 05,de Bundesliga,DF,25.0,2177,24.2,,,,,698.265229835039,Top Starter,2017-2018
Karim Bellarabi,Leverkusen,de Bundesliga,Off_MF,27.0,1146,12.7,581.8002883738718,Top Starter,,,,,2017-2018
Héctor Bellerín,Arsenal,eng Premier League,DF,22.0,3051,33.9,,,,,526.0618736715135,Top Starter,2017-2018
François Bellugou,Troyes,fr Ligue 1,MF,30.0,2177,24.2,,,227.4782989784397,Solid Squad Player,,,2017-2018
Andrea Belotti,Torino,it Serie A,FW,23.0,2683,29.8,464.5628931087198,Top Starter,,,,,2017-2018
Chaouki Ben Saada,Troyes,fr Ligue 1,FW,33.0,342,3.8,,,,,,,2017-2018
